Name;Birthday;Club;Club2;Club3;Year;League
Mohammed Abdellaoue;1985-10-23;Stuttgart;;;2017.0;GER-Bundesliga
Kevin Kuranyi;1982-03-02;Hoffenheim;;;2017.0;GER-Bundesliga
Martin Stranzl;1980-06-16;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Dario Kresic;1984-01-11;Leverkusen;;;2017.0;GER-Bundesliga
Diego Orlando Benaglio;1983-09-08;Wolfsburg;;;2017.0;GER-Bundesliga
Zlatko Junuzović;1987-09-26;Werder Bremen;;;2017.0;GER-Bundesliga
David Ángel Abraham;1986-07-15;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Szabolcs Huszti;1983-04-18;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Johannes Flum;1987-12-14;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Christoph Moritz;1990-01-27;Mainz;;;2017.0;GER-Bundesliga
Philipp Tschauner;1985-11-03;Hannover;;;2017.0;GER-Bundesliga
Vedad Ibišević;1984-08-06;Hertha Berlin;Stuttgart;;2017.0;GER-Bundesliga
Matthias Ostrzolek;1990-06-05;Hamburg;;;2017.0;GER-Bundesliga
Pirmin Schwegler;1987-03-09;Hoffenheim;;;2017.0;GER-Bundesliga
Andreas Beck;1987-03-13;Hoffenheim;;;2017.0;GER-Bundesliga
Daniel Didavi;1990-02-21;Stuttgart;;;2017.0;GER-Bundesliga
Maximilian Beister;1990-09-06;Mainz;;;2017.0;GER-Bundesliga
Valentin Stocker;1989-04-12;Hertha Berlin;;;2017.0;GER-Bundesliga
Konstantin Rausch;1990-03-15;Darmstadt;Stuttgart;;2017.0;GER-Bundesliga
Petr Jiráček;1986-03-02;Hamburg;;;2017.0;GER-Bundesliga
Christian Schulz;1983-04-01;Hannover;;;2017.0;GER-Bundesliga
Tohouri Zahoui Constant Djakpa;1986-10-17;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Michael Stegmayer;1985-01-12;Darmstadt;;;2017.0;GER-Bundesliga
Maik Uhde;1992-03-23;Augsburg;;;2017.0;GER-Bundesliga
Lars Bender;1989-04-27;Leverkusen;;;2017.0;GER-Bundesliga
Sereso Geoffroy Gonzaroua Dié;1984-11-07;Stuttgart;;;2017.0;GER-Bundesliga
Felix Kroos;1991-03-12;Werder Bremen;;;2017.0;GER-Bundesliga
Aaron Hunt;1986-09-04;Hamburg;Wolfsburg;;2017.0;GER-Bundesliga
Mërgim Mavraj;1986-06-09;FC Koln;;;2017.0;GER-Bundesliga
Almog Cohen;1988-09-01;Ingolstadt;;;2017.0;GER-Bundesliga
Felix Wiedwald;1990-03-15;Werder Bremen;;;2017.0;GER-Bundesliga
Fabian Giefer;1990-05-17;Schalke;;;2017.0;GER-Bundesliga
Sebastian Langkamp;1988-01-15;Hertha Berlin;;;2017.0;GER-Bundesliga
Oliver Sorg;1990-05-29;Hannover;;;2017.0;GER-Bundesliga
Nicolai Müller;1987-09-25;Hamburg;;;2017.0;GER-Bundesliga
Raffael Caetano de Araújo;1985-03-28;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Ibrahima Traoré;1988-04-21;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Slobodan Rajković;1989-02-03;Darmstadt;;;2017.0;GER-Bundesliga
Paul Verhaegh;1983-09-01;Augsburg;;;2017.0;GER-Bundesliga
Benjamin Gorka;1984-04-15;Darmstadt;;;2017.0;GER-Bundesliga
Dušan Švento;1985-08-01;FC Koln;;;2017.0;GER-Bundesliga
Milan Ivana;1983-11-26;Darmstadt;;;2017.0;GER-Bundesliga
Tino Dehmelt;1992-01-29;Hamburg;;;2017.0;GER-Bundesliga
Ali Kazimi;1997-06-30;Darmstadt;;;2017.0;GER-Bundesliga
Ronaldo Aparecido Rodrigues;1982-09-10;Wolfsburg;;;2017.0;GER-Bundesliga
Jefferson Agustín Farfán Guadalupe;1984-10-26;Schalke;;;2017.0;GER-Bundesliga
Benjamin Hübner;1989-07-04;Ingolstadt;;;2017.0;GER-Bundesliga
Timm Klose;1988-05-09;Wolfsburg;;;2017.0;GER-Bundesliga
Alexander Meier;1983-01-17;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Dennis Aogo;1987-01-14;Schalke;;;2017.0;GER-Bundesliga
Christian Gentner;1985-08-14;Stuttgart;;;2017.0;GER-Bundesliga
Änis Ben-Hatira;1988-07-18;Eintracht Frankfurt;Hertha Berlin;;2017.0;GER-Bundesliga
Uilson de Souza Paula Júnior;1989-04-27;Schalke;;;2017.0;GER-Bundesliga
Artem Kravets;1989-06-03;Stuttgart;;;2017.0;GER-Bundesliga
Florian Jungwirth;1989-01-27;Darmstadt;;;2017.0;GER-Bundesliga
Peter Niemeyer;1983-11-22;Darmstadt;Hertha Berlin;;2017.0;GER-Bundesliga
Clemens Fritz;1980-12-07;Werder Bremen;;;2017.0;GER-Bundesliga
Mišo Brečko;1984-05-01;FC Koln;;;2017.0;GER-Bundesliga
Bastian Kurz;1996-09-23;Augsburg;;;2017.0;GER-Bundesliga
Marcel Schäfer;1984-06-07;Wolfsburg;;;2017.0;GER-Bundesliga
Piotr Trochowski;1984-03-22;Augsburg;;;2017.0;GER-Bundesliga
Ronny Heberson Furtado de Araújo;1986-05-11;Hertha Berlin;;;2017.0;GER-Bundesliga
Patrick Platins;1983-04-19;Darmstadt;;;2017.0;GER-Bundesliga
Maurice Hirsch;1993-05-30;Hannover;;;2017.0;GER-Bundesliga
Bastian Oczipka;1989-01-12;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Salif Sané;1990-08-25;Hannover;;;2017.0;GER-Bundesliga
Daniel Caligiuri;1988-01-15;Wolfsburg;;;2017.0;GER-Bundesliga
Ádám Csaba Szalai;1987-12-09;Hannover;Hoffenheim;;2017.0;GER-Bundesliga
Karim Bellarabi;1990-04-08;Leverkusen;;;2017.0;GER-Bundesliga
Martin Josef Hinteregger;1992-09-07;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Timo Phil Horn;1993-05-12;FC Koln;;;2017.0;GER-Bundesliga
Jonas Armin Hector;1990-05-27;FC Koln;;;2017.0;GER-Bundesliga
Shawn Parker;1993-03-07;Augsburg;;;2017.0;GER-Bundesliga
Aleksandar Ignjovski;1991-01-27;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
André Hahn;1990-08-13;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Jonathan Schmid;1990-06-22;Hoffenheim;;;2017.0;GER-Bundesliga
Lukas Klünter;1996-05-26;FC Koln;;;2017.0;GER-Bundesliga
Marvin Plattenhardt;1992-01-26;Hertha Berlin;;;2017.0;GER-Bundesliga
Felipe Trevizan Martins;1987-05-15;Hannover;;;2017.0;GER-Bundesliga
Edgar Prib;1989-12-15;Hannover;;;2017.0;GER-Bundesliga
Raphael Wolf;1988-06-06;Werder Bremen;;;2017.0;GER-Bundesliga
Tobias Strobl;1990-05-12;Hoffenheim;;;2017.0;GER-Bundesliga
Jerome Julien Kiesewetter;1993-02-09;Stuttgart;;;2017.0;GER-Bundesliga
Özkan Yıldırım;1993-04-10;Werder Bremen;;;2017.0;GER-Bundesliga
Ermin Bičakčić;1990-01-24;Hoffenheim;;;2017.0;GER-Bundesliga
Luiz Gustavo Dias;1987-07-23;Wolfsburg;;;2017.0;GER-Bundesliga
Admir Mehmedi;1991-03-16;Leverkusen;;;2017.0;GER-Bundesliga
Niki Dige Zimling;1985-04-19;Mainz;;;2017.0;GER-Bundesliga
André Schürrle;1990-11-06;Wolfsburg;;;2017.0;GER-Bundesliga
Jairo Samperio Bustara;1993-07-11;Mainz;;;2017.0;GER-Bundesliga
Johannes van den Bergh;1986-11-21;Hertha Berlin;;;2017.0;GER-Bundesliga
Sven Schipplock;1988-11-08;Hamburg;Hoffenheim;;2017.0;GER-Bundesliga
Jan Morávek;1989-11-01;Augsburg;;;2017.0;GER-Bundesliga
Theodor Gebre Selassie;1986-12-24;Werder Bremen;;;2017.0;GER-Bundesliga
Fin Bartels;1987-02-07;Werder Bremen;;;2017.0;GER-Bundesliga
Claudio Miguel Pizarro Bossio;1978-10-03;Werder Bremen;;;2017.0;GER-Bundesliga
Markus Suttner;1987-04-16;Ingolstadt;;;2017.0;GER-Bundesliga
Daniel Brosinski;1988-07-17;Mainz;;;2017.0;GER-Bundesliga
Julian von Haacke;1994-02-14;Werder Bremen;;;2017.0;GER-Bundesliga
Joel Gerezgiher;1995-10-09;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Adam Hloušek;1988-12-20;Stuttgart;;;2017.0;GER-Bundesliga
Caiuby Francisco da Silva;1988-07-14;Augsburg;;;2017.0;GER-Bundesliga
Ashton Philip Shawn Götz;1993-07-16;Hamburg;;;2017.0;GER-Bundesliga
Niklas Teichgräber;1996-02-07;Hannover;;;2017.0;GER-Bundesliga
Sascha Riether;1983-03-23;Schalke;;;2017.0;GER-Bundesliga
Arjen Robben;1984-01-23;Bayern;;;2017.0;GER-Bundesliga
Andrej Kramarić;1991-06-19;Hoffenheim;;;2017.0;GER-Bundesliga
Bas Leon Dost;1989-05-31;Wolfsburg;;;2017.0;GER-Bundesliga
Gonzalo Alejandro Jara Reyes;1985-08-29;Mainz;;;2017.0;GER-Bundesliga
Albian Afrim Ajeti;1997-02-26;Augsburg;;;2017.0;GER-Bundesliga
Patrik Džalto;1997-02-19;Leverkusen;;;2017.0;GER-Bundesliga
Håvard Nordtveit;1990-06-21;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Paweł Mirosław Olkowski;1990-02-13;FC Koln;;;2017.0;GER-Bundesliga
Marcel Risse;1989-12-17;FC Koln;;;2017.0;GER-Bundesliga
Konstantinos Stafylidis;1993-12-02;Augsburg;Leverkusen;;2017.0;GER-Bundesliga
Miiko Martín Albornoz Inola;1990-11-30;Hannover;;;2017.0;GER-Bundesliga
Maximilian Arnold;1994-05-27;Wolfsburg;;;2017.0;GER-Bundesliga
Daniel Ginczek;1991-04-13;Stuttgart;;;2017.0;GER-Bundesliga
Jaroslav Drobný;1979-10-18;Hamburg;;;2017.0;GER-Bundesliga
Jonas Hofmann;1992-07-14;Borussia M.Gladbach;Borussia Dortmund;;2017.0;GER-Bundesliga
Kazuki Nagasawa;1991-12-16;FC Koln;;;2017.0;GER-Bundesliga
Eduardo Jesús Vargas Rojas;1989-11-20;Hoffenheim;;;2017.0;GER-Bundesliga
Zoltán Stieber;1988-10-16;Hamburg;;;2017.0;GER-Bundesliga
Leon Andreasen;1983-04-23;Hannover;;;2017.0;GER-Bundesliga
Hiroki Sakai;1990-04-12;Hannover;;;2017.0;GER-Bundesliga
Shinji Kagawa;1989-03-17;Borussia Dortmund;;;2017.0;GER-Bundesliga
Takashi Inui;1988-06-02;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Hotaru Yamaguchi;1990-10-06;Hannover;;;2017.0;GER-Bundesliga
Mitchell James Langerak;1988-08-22;Stuttgart;;;2017.0;GER-Bundesliga
Alfreð Finnbogason;1989-02-01;Augsburg;;;2017.0;GER-Bundesliga
Jakub Błaszczykowski;1985-12-14;Borussia Dortmund;;;2017.0;GER-Bundesliga
Sambou Yatabaré;1989-03-02;Werder Bremen;;;2017.0;GER-Bundesliga
Yoshinori Muto;1992-07-15;Mainz;;;2017.0;GER-Bundesliga
Ørjan Håskjold Nyland;1990-09-10;Ingolstadt;;;2017.0;GER-Bundesliga
Gōtoku Sakai;1991-03-14;Hamburg;;;2017.0;GER-Bundesliga
Yuya Osako;1990-05-18;FC Koln;;;2017.0;GER-Bundesliga
Hiroshi Kiyotake;1989-11-12;Hannover;;;2017.0;GER-Bundesliga
Gustavo Adrián Ramos Vásquez;1986-01-22;Borussia Dortmund;;;2017.0;GER-Bundesliga
Alejandro Gálvez Jimena;1989-06-06;Werder Bremen;;;2017.0;GER-Bundesliga
Tarik Elyounoussi;1988-02-23;Hoffenheim;;;2017.0;GER-Bundesliga
Hajime Hosogai;1986-06-10;Hertha Berlin;;;2017.0;GER-Bundesliga
Mustafa Batuhan Altıntaş;1996-03-14;Hamburg;;;2017.0;GER-Bundesliga
Cleber Janderson Pereira Reis;1990-12-05;Hamburg;;;2017.0;GER-Bundesliga
Roger de Oliveira Bernardo;1985-08-10;Ingolstadt;;;2017.0;GER-Bundesliga
Eric Dirk Oelschlägel;1995-09-20;Werder Bremen;;;2017.0;GER-Bundesliga
Mahmoud Dahoud;1996-01-01;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Haris Seferović;1992-02-22;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Joelinton Cássio Apolinário de Lira;1996-08-14;Hoffenheim;;;2017.0;GER-Bundesliga
Roman Neustädter;1988-02-18;Schalke;;;2017.0;GER-Bundesliga
Bernd Leno;1992-03-04;Leverkusen;;;2017.0;GER-Bundesliga
Marc Stendera;1995-12-10;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Loris Sven Karius;1993-06-22;Mainz;;;2017.0;GER-Bundesliga
Fabian Lukas Schär;1991-12-20;Hoffenheim;;;2017.0;GER-Bundesliga
Dong-Won Ji;1991-05-28;Augsburg;;;2017.0;GER-Bundesliga
Daniel Tawiah Opare;1990-10-18;Augsburg;;;2017.0;GER-Bundesliga
Philipp Ochs;1997-04-17;Hoffenheim;;;2017.0;GER-Bundesliga
Pascal Groß;1991-06-15;Ingolstadt;;;2017.0;GER-Bundesliga
Goran Alexander Sjöström Milošević;1992-01-30;Hannover;;;2017.0;GER-Bundesliga
Oscar Joakim Wendt;1985-10-24;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Ragnar Klavan;1985-10-30;Augsburg;;;2017.0;GER-Bundesliga
Tim Matavž;1989-01-13;Augsburg;;;2017.0;GER-Bundesliga
Nikola Đurđić;1986-04-01;Augsburg;;;2017.0;GER-Bundesliga
Heinz Lindner;1990-07-17;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Andreas Hirzel;1993-03-25;Hamburg;;;2017.0;GER-Bundesliga
Jérôme Agyenim Boateng;1988-09-03;Bayern;;;2017.0;GER-Bundesliga
Ulisses Alexandre Garcia Lopes;1996-01-11;Werder Bremen;;;2017.0;GER-Bundesliga
Philip Michael Heise;1991-06-20;Stuttgart;;;2017.0;GER-Bundesliga
Tom Mickel;1989-04-19;Hamburg;;;2017.0;GER-Bundesliga
Lewis Harry Holtby;1990-09-18;Hamburg;;;2017.0;GER-Bundesliga
Lukas Hinterseer;1991-03-28;Ingolstadt;;;2017.0;GER-Bundesliga
Barış Fahri Atik;1995-01-09;Hoffenheim;;;2017.0;GER-Bundesliga
Fabian Lustenberger;1988-05-02;Hertha Berlin;;;2017.0;GER-Bundesliga
Sebastian Alexander Jung;1990-06-22;Wolfsburg;;;2017.0;GER-Bundesliga
Oliver Hüsing;1993-02-17;Werder Bremen;;;2017.0;GER-Bundesliga
Lars Edi Stindl;1988-08-26;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Levin Mete Öztunalı;1996-03-15;Werder Bremen;;;2017.0;GER-Bundesliga
Marvin Wanitzek;1993-05-07;Stuttgart;;;2017.0;GER-Bundesliga
Jérôme Gondorf;1988-06-26;Darmstadt;;;2017.0;GER-Bundesliga
Nils-Jonathan Körber;1996-11-13;Hertha Berlin;;;2017.0;GER-Bundesliga
Finn-Dominik Porath;1997-02-23;Hamburg;;;2017.0;GER-Bundesliga
Luc Castaignos;1992-09-27;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Marvin Schulz;1995-01-15;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Francísco Jose Rodríguez Araya;1995-09-14;Wolfsburg;;;2017.0;GER-Bundesliga
Ahmet Metin Arslan;1994-03-30;Hamburg;;;2017.0;GER-Bundesliga
Ralf Sebastian Fährmann;1988-09-27;Schalke;;;2017.0;GER-Bundesliga
Leonardo Jesus Loureiro Bittencourt;1993-12-19;FC Koln;;;2017.0;GER-Bundesliga
Mitchell-Elijah Weiser;1994-04-21;Hertha Berlin;;;2017.0;GER-Bundesliga
Branimir Hrgota;1993-01-12;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Miloš Veljković;1995-09-26;Werder Bremen;;;2017.0;GER-Bundesliga
Niklas Stark;1995-04-14;Hertha Berlin;;;2017.0;GER-Bundesliga
Michael Zetterer;1995-07-12;Werder Bremen;;;2017.0;GER-Bundesliga
Marcel Hartel;1996-01-19;FC Koln;;;2017.0;GER-Bundesliga
Sascha Burchert;1989-10-30;Hertha Berlin;Hertha Berlin;;2017.0;GER-Bundesliga
Julian Wesley Green;1995-06-06;Bayern;;;2017.0;GER-Bundesliga
Marco Friedl;1998-03-16;Bayern;;;2017.0;GER-Bundesliga
Felix Klaus;1992-09-13;Hannover;;;2017.0;GER-Bundesliga
André Hoffmann;1993-02-28;Hannover;;;2017.0;GER-Bundesliga
Marcel Sobottka;1994-04-25;Schalke;;;2017.0;GER-Bundesliga
Matthias Jürgen Zimmermann;1992-06-16;Stuttgart;;;2017.0;GER-Bundesliga
Kenan Karaman;1994-03-05;Hannover;;;2017.0;GER-Bundesliga
Maximilian Reinthaler;1995-03-22;Augsburg;;;2017.0;GER-Bundesliga
Danny Latza;1989-12-07;Mainz;;;2017.0;GER-Bundesliga
Ron-Robert Zieler;1989-02-12;Hannover;;;2017.0;GER-Bundesliga
Timo Baumgartl;1996-03-04;Stuttgart;;;2017.0;GER-Bundesliga
Nico Elvedi;1996-09-30;Borussia M.Gladbach;;;2017.0;GER-Bundesliga
Koen Casteels;1992-06-25;Wolfsburg;;;2017.0;GER-Bundesliga
Felix Passlack;1998-05-29;Borussia Dortmund;;;2017.0;GER-Bundesliga
Johannes Geis;1993-08-17;Schalke;;;2017.0;GER-Bundesliga
David Kinsombi;1995-12-12;Eintracht Frankfurt;;;2017.0;GER-Bundesliga
Max Christiansen;1996-09-25;Ingolstadt;;;2017.0;GER-Bundesliga
